image_id,dim0,dim1
T3HqI4Lq7idaSI6v7AmDvxhWZ8sBRwrV,2430,1994
MjlngcuhXJhQx74UHTl4xxMD9MLVKEWa,3000,3000
QaA3xQkfCf5wMdkVDq2t0u5QK4JFfTrD,2430,1994
5XK5Ik0Idb1QGad9jWEANbjDOJQuF8nI,2430,1994
ip62jhn46eJl1MIffcSlMqcQ9bhDCUiF,2880,2304
1NlGsgRqP2r3ezs2AZZan9BTmHFja7Ay,3072,3072
xZJONMIE9txDJPloQrNElLQCj2p3RvAL,2552,2479
EOZhWjkh3aV1vtr8pQpqKEE2H5EG6tKt,2128,2241
qhpWtZ3wTTTzHXpbhLYjNAIa2lGE1gme,2836,2336
oNEangZ3aaKEClg9jjncF2VPsXQlv0FB,2958,2912
toDWLSTb3T8WRW5tDGXhHC7OpvewwnaL,2500,2048
d0DDDOEP8uCTxwivs6cV3Gp2nsmEmv9a,2930,2504
LhIMcIzmkbmHfCX1uDQuzK3azdYijkp0,3256,2680
zAZyHa6kh3oAt3okASE1JmtVXprI0lgT,3380,2765
YdVCk5vgiEh2PZqARM5Dh0luk1rKAeL5,2328,1920
6st89vTrUziiX68dqO2AIVgTtiP2gdFa,2850,2642
75FolLcDUEhflRgKYg04goSeZZ0hL6L3,3000,2948
w1qJy1FH8V8RxuJZdn4QcuDeVBP0ODRd,2975,2482
XBc4mHOq6xGHA81IBoEocyRA7Iwad3Nl,3072,2540
xXoIK8QGydVt61PvWxIN5ooEyFAEXrx0,2700,2270
qWpXCS8etufleEo2JnY1ub7nKu5OF4IE,2880,2304
lFEeuozmVr9Ut4WmFoekv6PWNrusSOKz,2500,2048
uG4dyF0ZId83eoL6y7GphXZgSVFFn2ct,2430,1994
JeFycKAs21bDxxOOSFLDEMFtoEx310Xm,2247,2176
QjBE2pWUrVJvtFbhBfeBPJz25DI5BsPx,2947,2823
0FEzGgZYmHdYmUEiZT8ujJ7QkwX6I18d,2836,2336
xR39ct8APf97VIFBAZyiIBVt0xavp01E,2424,1992
HxJypKxhSe59cIGA5Sgj0dGUQ2CUWFTz,3072,3072
myIZ5HIox4m2fOyde38LgWlo2TxX2vS8,2500,2048
nyAFN5RqVjkfKiFSk5KIuzBKWDGclQb1,3196,2678
6pr96Pah7AsO91A99u8C4C74LHCp45mf,2088,2008
Z4E7B6UrNnYHMVBOkwLrcUZiYE0B7R8G,2880,2304
dvpoziW67QvoyXcpfKryIRiGzM246htI,2565,2424
KrTNt7S2F6FgME8GjnSMZfBf3hgjelkh,1976,1984
0B8vQe88u6AvboPxwmKwaFsAjJ1QQEjX,2880,2304
6f2lUaPNT61LLeLaKBggnFZUKXCQJLw0,3008,2600
gg6zZwH5RjrIMVcjcqIrOG1SEbTiK7Cj,3072,3072
6Y3g4Y9dTisDALbZvOd9Ho7jut1ffdUL,2836,2336
uicbKnFCP9LGvhzPdd12H48HoyjuJ2s6,3072,2540
BKqaJtLifSjtIqH4X9FAKWgKgnYehY5n,3170,2642
HC8QCz5PvXkRVtz0GyvvYfZt6AQNkmeQ,2846,2399
DrD8ZgmmlqOCajwsuotCPryrLLnNoWPi,2430,1994
KaiwZrUe3PeSeLsaBvkJct8AgX79dJLM,2500,2048
zb4ZDWX2GWgJ0eeYJBbbBKZFn1iWRYVg,2500,2048
zt3CvmgoAnOFO4N8BZHohaEktQpKxkF6,2708,2236
I8EdPrGv7sQR0LkyX4jKLmLuh0VwRUQT,2880,2304
Vg6uZevroQfXJblTqMHlzZmZ35okbxOD,2500,2048
GXqKOqKCDDTb7MrYZ9AuOhV7Q62d6QSM,2880,2304
3316VuzHZNRKmtvWTE4GMjq9I8MfmYi0,2500,2048
MCJaHsxqZgmt0haIW72vxitXijx9PRpC,2430,1994
K4q7IiIGvx9Dryf6pIlyWqWyRbOo6IfH,2430,1994
bXjqdk32k6pneuqwY6ZoZsRE9VGu59zF,3072,3072
ZfpNfRmxyXCb5Wwn3vD30Bv0NrNp3k29,3000,3000
5dPrJKrvzL0RFdnmTu4bWi14ncuvHWLP,2517,2280
wwDdgL8BkrpvHIktKm2y9d5Sa4eTC9EA,1936,2040
WHif7q27XvVcPNoVIu3pf6Suygk6sQeh,3044,2767
QULnSYUBSNyNh3O91ECyvzXnIucKtsiF,3000,3000
ToiOLmTgTO8yRNGGgdIGuDkevFkJnMM9,3072,3072
8FEVhOWqPCGL7OUtkUgcgEESmeGiVyyQ,2874,2493
5MPqhLEFsmjB2oNGjNpJaf6L4aXRXuKn,2500,2048
0SaYKvBUKPuubsnic8Qb5XUry3GKdXBt,2430,1994
F24aIKNUovGAobytONudyxFBtOdtzAvk,3072,3072
elhPFLKTdQaxI7syVixKysBksN9KdQ03,3408,3320
TFuutmj3SV7ON2RVaAW1czTlip8VagrG,2150,1862
N4USnFIxsBrEfiq7cxUo1AsLKuvtW4Ni,2430,1994
1lwJzUPzNGz3LBQMD7suo7Rdj6tMgw4W,2356,2162
1uYJkPRsOP8jyrONNDjXNsmdtyAAE1PQ,2130,3000
MgIomxifp2e0KqJ6sgJ1ZK4nJsvSaRfd,3072,3072
pZRpgPzspssFMRrziGaI9SONJ6qPGGE1,2836,2264
VglIs1aTS3pMTfSk6PrFJzdpcJLQDb0r,2430,1994
gSTNWEC8PIGCJw1OtPkLVtKRTouW0xnz,2957,2642
D5olp8DggTwuqWagSiTgqdQ2You6UCGN,3072,3072
1fi4XQrblWa0zaYknb19Mo3o11B6pnxW,2728,2296
21c83sY5E8hdDIf5YpuMFtrSO3ADvmBE,2430,1994
0dFk7qj7LpFbYUeDbeker6M4PPiLXt8m,3072,3072
5Nd9lvJk1FVQ7YYBxnOAkSdNbWNI0myq,2880,2304
y0FVHSdiiwol7q7NThrInGgslIH1xwXQ,2706,2562
sLZSfgkan2gkg8hSgieiGqGYSM6HjqLr,3072,3072
2FFNfnEGuTi3P3C9OEOtoxSeigs3gLmY,3028,2517
NtZVZ5xoQJWDb9vDM4nkAKzPb1hdfdGf,3072,3072
AO18kng0ZQFrb7Tq9pXr2B3CFpgKiDVr,2930,2504
pukjjQp3DxVh8exIXtztiC1s838ufdxC,3110,2656
78xYUS2YlkWyI5wTuZ9Xg9nYJJzz6Ofb,3000,3000
05TXJWymzjsXy7wGLKE1UJNOKjtLRmy0,3072,2540
EZxSwQTQpyjlM5tAkEhaUGWlo2gpktEm,3072,2540
Nh4Jn7hJ0rkWFfxrWlhgR5rB1OxXslb7,2430,1994
k9R8fPLndCJwLx62LDE0yFxxFsOUyma7,2795,2538
hnHHB25XYH6VAdA6k4oUJ377GnWwXLKP,2615,2453
h4ks35A3H2q2z6kAjDEMAafQVX2ofcUQ,3072,2806
JY2MwEMKNcXGv0LKITBsEvshJuaxbS7a,2880,2304
L1lcxPpQUKCmgB1uTUdCjKnANf4xjR5i,2880,2304
cfhvJIdejQIRMB52ip4mL7J4PobSEjIh,2500,2048
u3tGwGH7rAWskT5pA7WqjWv9QxuWTW5c,2430,1994
vRheuO15kp2J1ZzQoPZNb5Mf43QNVeE6,3079,2871
NLuRDHncHGw5GmYR9ZgJpCjBLPujMqKz,2930,2504
3memIfmHMYtFe66S8CzAGml162iv0WzR,2430,1994
V9zOUa9RGNdRRGONJZAGgmSzzZxcyocO,2785,2444
4cjvF7r8rjLxXMxymYG7AwcG2c1j18Mf,2880,2304
xDe9YBtw4TJ8JOWcRmO1SHtbepBisj9I,3072,2540
Xp8I8oPwTGKuOWlvSc4THHi9yRinUGWs,2430,1994
6cK8cHGKVa02VktFUuy2TfrMIp6zZGIB,2430,1994
B8XxkbsIvr9ivMSOt60ZIL0GjxdVeuX2,3000,3000
oWJCJV6PnW8V8nP1WcyxI2YiHlxsvUvr,2225,2022
AnWRhHCuLyNTZvcJLGnhoDWACoDAfWBw,2430,1994
4yMLd9aLoWZGDfjFdQ1Y4aNTH8EM2ptx,2836,2336
c7owfqVoN1Tefw2JW1nhNwvoQl1GFcJt,2050,2277
KwaftlaD38QaS7n5PIHVueyslLudG1YO,2880,2304
pqYE5XVLO4IfFDKsOUbp8IHRGIHs98SK,3072,3072
F9UPjR1CzUksUVkzhYJFhc3AgSEH1udp,2430,1994
spGUBFAD1nfb3FJR4OgviuHGaUEaFARd,2440,1992
Zk6qMDdoZYej4ryMyaW7FPPc3mXWGs1K,2687,2725
vKoQuhQpQd9v3YmRAlWBY6uARtDBNjoJ,2880,2304
spwpTshuKb8pOvnT8ea7RvWQ96f9gqDI,3179,2583
NvEl0D3GfJSHfsQIV38uSW7wICBsD4Dt,2500,2048
iIkb1giRhYnVicuPELN3kKg7kDbBmTaL,2500,2048
tIYgV2tGMrb0m5nxuGBDq31AZD6TFyjE,2579,2142
gqF9BhtQATKrj2yhOc4yMBbGsVhcTdpA,1976,1896
psvdthsmD1XhTD9fTghSIvWk242AYy4M,3028,2517
JDuVRI7Srku1JlCgFdROL3nuJsy6aWbM,2500,2048
x4S8m5hrU4lwXQTh6f1e4xTT4iIbEzhU,2880,2304
Gbb6pz9qip7O7fLGAi6i0hlSLJza8StJ,3000,2949
HWYjbibH8zPB4iKUOwphUJGNgK5Pg2l0,2880,2304
BcfygqAUkh5l05RCpFxxY7JoUFiwS6N0,2880,2304
y7OftyrUSOVswa0Pq8rkmep7L8KpYdHq,3107,2670
j06wnDsD517GOVP5PElbPkbtjJBGG1TP,2430,1994
xjThTWWMGUydfcyyuooqZXlJ9qlwuXJq,2272,1952
a0AG1Hh9NcbrQPYhzEFOLDp8BcITo01e,2430,1994
RNOyL4SZJHc9t3Qi14ymL2b1opEVUCsv,2836,2336
aBDUBZPO7K4rAQQKGlUvEhAa6i8V7r5c,3108,2496
J4XlINtq5z4kcWUApQKJpAdBkn4IOKKB,3072,3072
4UMsI8wK29cB8zmSC6jrYiKJ5cc5MXbq,2774,2182
ZwxkaUuhxuuOgAAoXi8HqbbH0aYJQPVA,3203,2503
Uu1m5HqZXmr6e3XnignitWnn2HHXPNT5,2992,2980
Mtbte1tN0SvoV07eidUvGVdpV1Hdekpb,2836,2336
wfExosweURw1RaVlXLxSWUWShEE67Fd8,2880,2304
GxtYhPlXH0HQp2QeroH6IH7f2nRf310U,2827,2974
rNFgydZssmvnmqzo7L0ur8LiMApUysHa,2880,2304
gfv9467OJ8SzeXvpiFOFkoIlqNDetN7H,2836,2336
zRM8ABCWWpig1FjekPmFXAgEvqNgBJNg,2430,1994
s7ae1hw0tVTq3yV5kVh11DzxW0dwg2pK,2430,1994
ymc7mhiTLfLzM9U78B0UaE73dwGsmsYy,2500,2048
d67SAn8RZW8J2iLnn4q0CHCOrHvW9uUE,3072,3072
0R2X6BMyGkPGQ94kx5j9LJWZpk1xVQyc,3000,3000
b7YDp63NqLBEh0J43AwltKTDxdogbaOq,1942,1656
o4jhRRkiji6uLpmd0ktKgVuOY5Gz2xPM,2444,2273
Sa7JxALAmhkmdv8xjdyUOcjF4JcTC7Ax,3141,2795
SJFdB2llAnzEVQN7XlKei64l4OEd2yAO,2982,2590
G9EcgYIokmEIcAJefVC8oICAs84Kfeis,3170,2642
H0Ahlr0HsNsUvPNcx4UbS6sNxMeRa4hC,2430,1994
5bNTWXRraQgEqmAM7gMfHOXLjYOEVdgj,3072,2540
IBkZnEgOW5bK5CNIAyeRGhPDw5wcttlr,2500,2048
S7MjHF6oBxVsdzCyNIEFIT8pC81LtTb4,2430,1994
ufZezlM5uR5isC298D75s4qNwHQ45v1o,2430,1994
q6vjkr0JBXrUnKpQvaSjsiJRriFkUbwX,2430,1994
CMHAJHhGoykB5SoMBhVRuZlEDbHNWbBg,3079,2888
Sxn6oZ71FjuaNobt5aDEohVcCO2ZAKIy,2655,2478
WkxjYsXyliRuqs5wt4Z67P6DhZyvXrFv,2880,2304
LIBsRicZxe01JkStN1ZuhMxLvK5cyWBS,2836,2336
gFrJedU2bEbXLQnEBZOq9xXnGErFFXOo,3072,3072
AapLAW8p8WUL6x0P6jLFv9Etd34B7lr1,3145,2753
eK7NHuUA5AnDrivsIet2XgzG35H38nT0,3028,2517
SeL9tlUDe1K1I7lV4hV9b6d2uJ9gtdMm,2500,2048
OAzxIg0SvBxQABbrcVTZjTBdlxF2i0CP,2880,2304
1chCBwmUquaaBWqLWaVaGxB9g7tvCxlz,2430,1994
zq1vXPCyGhR1jTIUxOtOfZeNiUnjdjcF,3127,2847
m5lLlajmSGzDmz3MZUR3E0w6joO1nsMa,3020,2562
hV5HTnfhTppqgi64bf5seOs28MtodAxe,2880,2304
Vb0Z81bOfixghpMqlUmUTlDKGTetZaZ8,2485,2019
LlXmDcm12tYY1KH5iWsK1akyHYbJst5m,2340,2305
d2w9Ozy3tZUzu3cegKnOjm1gWRajpKaB,2500,2048
78ebkE1DFhCXPMWJN8NVjhYUsPLxmEfP,3247,2674
x4CveE79l7dL2QnE1sRbb7GS2eoe0czC,2880,2304
h8M2aWsjRazGmP3tuL7WyvxQGdNhJEKg,3170,2642
tFOsV15afZzWPj0IV1Kf33jwC85H5ca7,3138,2725
ts0uBMVX6LOhCr71XWvyDoOGmvdFwXTZ,3072,2540
0M2BsmSYs3G7at7swDzwbvvueLExfvgP,3072,2540
kae8R5OwvOy7OROPvOlK483OPNg1HKNi,3072,3072
XODNX5vYIz6iJuzWBgFaA9Ck6HwVHy8U,2430,1994
wBUs2T9phclWjVkUHRan96SP4zak0L8E,2500,2048
sJS2bl2ohwCBYK1hCWqwg9HKL1fIg3L4,2430,1994
aGiPZDRMWKBfaRbdOyYv04MkB7S2CJRa,2511,2310
GUZH32kz4IqjeA9YCFKYkI1qH2VR4iGi,2500,2048
gNIMVhzanjGah5fYWD263B7DMuRC9yfJ,2430,1994
tKAKefpS0IR8hsghFuGqwd2qeVLY9wpg,2542,2863
doWu15j9TnIwQTrc2FyUnvnquQtHxQZt,2930,2504
6cQaGqqZFTERHkJyChkAFN6bVZ22uBR7,3072,3072
mQhlqeh1Uho7HxOFASElgZBYEVIm7st6,2321,2536
2ATsygE9XJADg5gOC2QwG4Td7kUrQUiK,2430,1994
7yTxHHAhnz3e6ySIICrjWNs16LXVsih2,2880,2304
8qMkRzc6XJwsO214fMDyAJp3RnZX9riA,2800,2516
RjDpyRmTHWOUI8GeiRCTA8l7J4MOf3gK,2523,2282
3PzbJVnLq0Q25Jr3T86uWga8jjlyERRe,3205,2666
nQQ2ff7CI7FjLHXtlnLCPs2tCivDVDdA,2430,1994
8GYBItA1q5xbyiCuqIeaOk17nV7fF1Fu,3072,3072
XeDzrdOjY9Kkp4hcYQ3uQMRiwMJ4TkNt,2873,2754
FWP4HkVnAI4m0hMqB9Veuj7DLAB6GTp0,3072,3072
WVfO6x1unGcZ1ieAtuLp0egKdQC48thT,3072,2540
nSGRsPpjI9dKeGKL9dQmBGYK73peSAD5,3408,3320
QPzxR0tC7a1RAHT40xkngearRvb57blw,2880,2304
Sa7GcNbY3Fnnfu3KKZIc0g3OONDe5I3e,2360,2112
2NqAgypcrrAnlP0TZg42JnPKRkPDgWcx,2664,2456
eaIAuuiwfIg4vyMd8ibJWAdv33HPDVsv,2480,2064
WuuLtYJJ9KHLZJdoUz68652bMNjERGjn,2500,2048
HGrvEjJE4AOwP1nNxM4TVBQ9oonRoErz,2836,2336
P6lR3hxI8SKnDNVSqv2d3yA2gzzwvxXX,2430,1994
mdA4C1EihGIYzHlsb2ZMprBHCrMjlISF,2947,2582
hOlhGUNGq025qwETfRk5jioh7hdE8tgF,2789,2694
eLAEPYNJEN16zL236voZvSDjfHIDS3Mi,2591,2671
2McTKFjzMlgiy3OsZA2stYZdUICSj1wR,2791,2483
TWlH0Qpr6qZ2L2zgakQ1yUqNC2n4shxT,2304,2120
hfhfN6hhkco20q6eiv3FQmyDzcrEtMN2,2430,1994
PsR4Ua0MuI54YlZR1BPzJ1GtzCI98rU0,3072,3072
vi2XEoORf8etogiynwxJjX4L2mY3LlnP,2430,1994
VdhQnRrRXZYXw23yP0fDO4gXRG8Bv3VO,2880,2304
IV7iR8n6VMLYP3lm9LUudfX09aNIGT5V,2266,2218
4xpOz4lzBEqtmTJsDNVueomshjrgv99A,2531,2600
gh9X2jjgEIwCvveVAGNjizDfftqlsDj9,3408,3046
4DPQR8t9UV8uYZmVd2LGzg554YQ6DHKT,2808,2486
NVmneg95wFKASPicTPI3c7kEc0ahc7TC,2430,1994
ZFp29n7aHyQ6R9G1qOp0JlgUpXYXFlX6,2880,2304
CSHpLPkxZp7bL9jQyc6AE0SouNPGv0G8,3028,2517
X5OfpDZqN4agNQxt1ONHpVO6Gl5OAop8,2638,2237
HZNRsC5Nx4s7zdNzlcKrORXKNsznjz3Z,3072,3072
PRXnn8PFYET52xxcqgnqDGieUxehS7sR,2430,1994
5TY8FkTbygmjAlzXCs9eghpNEoY9Cr6Y,2836,2336
sDXi7lCDANApyWFohgHLgoyXm2iAfBmf,2880,2304
bmukISYTRFWNHFszmBozpI4NLKDgd2qz,2430,1994
1Aa7fiSjcG5iTcrMvfrHNLplGtvwvSSJ,2776,2336
VOaMVe2UtLSV0rH5HvTCsJJwxSb9xaZ0,3072,2540
mVLVo8nWRfpd5klQluEm2q4AU3au5FGS,2609,2305
cbdlEfo20d7Asrhj50KnQDQ0a00XfhBH,2430,1994
lvwgYsqI2nRI978kXEsL0gDPAOEcstmc,2500,2048
kA4Nzc1iuuFfWtLK3YwxFc9OWtHlccKx,2430,1994
eOlN2EGqdSbZiFwjKKVyNo2KssViswlW,3072,3072
4zSom4t7Z0xUrCtkLIQdB7Y8kP1ClMG8,2328,1928
RWZWwVZO3CIJq39n7PMECW53jDg4mUKb,2430,1994
L8hY4KyZEu3xJuS43GH70rwEhUXAY7RT,3408,2711
oG7li6lCU8u22WHDYZ49XHQshSptNLXd,3072,3072
UiqU5VuEHQQREZNA10xtTrnYRijQcNwz,2880,2304
Q6GDpvMgKmfZsuMK4gs65l1Wid32pmbG,2930,2504
S12rNyM4MEjszx5FLkIhiWvHQ92bF4kB,3072,3072
2v4UTMPRv6VnPSju9XPnzSjJdWWpik6v,2500,2048
kvNMLjPWGjAjYw6lgjsaAnduQ5x80OYZ,2836,2336
eUI0P0MaaraRmEVRTcUf73HGC7FxIfwH,2430,1994
QcxTBcHDfYP5Ph4xFe4FwOxAa7B35KE4,2430,1994
kuqOe5lSQTXFwMtQK8DKNrVHS3cO4bH4,2430,1994
YtDAF7OmjjhWXSlagncEm8ESfW16kN3H,2880,2304
FOsAaqGAV1K6gmVpgXQFTlUj2uqo1XAM,2430,1994
Jj8rwPwD3lbYvjJdrxU5HqFqo29htd9o,2836,2336
CBCMBMYRJvpSt4dddLLgBRdUFj80pHck,2500,2048
aZqpaNXfL0yUmgzBuHv53vxZgOltSi3M,3028,2517
x0aGE3pMcWVyNvcK9jL13QuQqmVYdNoH,3072,3072
rQ8I4gNlJeuZIxAtIXIph6cL3nWQKKyS,2430,1994
JFPgcR4NJ4qIJsz5RXj9FY5PLcwKYkVp,2836,2336
4tTTcO8FLzxZifgwnu74y5LAI8svELWE,2807,2107
pW8Ga94uzl61VA6kDyLj8g7pDTCT1B3M,2430,1994
KfuE7sEiSCaQAF4TSdZGnYLw1aXyOpvH,2880,2304
1jBt1i4bYN2tVWr0jNy0xymmxIQ0Waae,2209,2353
xocvScUNaaW39rlsIhwXsGLyXSuEJmwL,2492,2525
0aL2bmkIv3TILGLGXBqvOKiTrAaeSLcz,2500,2048
ftYfdXBgJGEiieAyteqXaJr75lYglhIL,3222,2783
bvankke4AYKGRo6Y4RenmrZcYF26ehMo,2500,2048
iz1cYtfOxbDCFezSNVTDFQr25xuSQlnv,2949,2444
hkEgbsZcSJKjvFQ9VVoj6PRqnSQhcpGD,3408,2524
KkwCGJfU9FSODtYPAmync218zLuV1U5K,2500,2048
0RCM12XafWFNMGvjNtIqtLETD7CFWkmf,3000,3000
YTUSPH3OIU4qzhrvzuQivuOsBrYvCxHN,2753,2618
nngt4OI30cvz46ggpKFvV4actksVxzLX,2500,2048
NfTGh0GbIf9wmynttQdP306F15AI7zh2,2500,2048
plRhmm7SLj80pY7Y9koTJRddsg0nqOwC,2430,1994
gpiQOh4rtwdOuQ8ODPefwaRoeBhhcFjE,2836,2336
m6ya7TVGA5tb0MGQ0Ns8RA6KV1fG5qdj,3408,3320
G013Bs8Gvsha6qcTChnI75PKCAIgHjVL,2430,1994
uam7yLPTUyw9LNZwUck7S6OlH8z8xEci,3056,2516
